ticker,volatility,avg_price,len,smape_standard,smape_tuned,winsorized_pct
WPP,Medium,32.1363547602546,9355,0.2705780561044689,0.07583258121429705,0.36472474612506683
CVGW,Medium,31.07178706682981,5681,0.1627373608887741,0.16388570822537682,0.36331631754972715
DFH,Medium,22.14551804189225,1023,0.3057002174302118,0.23910454642934503,0.41837732160312807
RCEL,Medium-High,13.289236526096971,3209,0.9155787417765432,0.6273267758867564,0.26706138984107197
C,Medium-Low,79.32624770995221,12132,0.3257516748517217,0.24181809635647267,0.368034948895483
YY,Medium,50.85023716916347,3077,0.1661178143694509,0.10657689955322597,0.37341566460838477
MTB,Medium-Low,49.80449104999197,11323,0.3222904670540872,0.25888580054363114,0.36218316700521064
VERA,High,23.063230919130778,944,0.4792259017830823,0.1521378814758113,0.2913135593220339
ASIX,Medium,28.758131660601972,2117,0.1490571450289646,0.1517840324652869,0.3835616438356164
MUX,High,15.59179641778902,11287,0.828657240009843,0.47423048542432006,0.20634358111101267
ICE,Medium-Low,55.92852195616056,4842,0.1167432365577423,0.0628444690782789,0.37691036761668734
CGEMY,Medium-Low,19.075009501008164,4290,0.1360740686726826,0.13496298548752847,0.3972027972027972
MARA,High,31.888618988493924,3215,1.647111355750238,0.8095730564454868,0.28398133748055987
KT,Medium-Low,17.500058266818893,6472,0.1463767130504785,0.10572659086420048,0.36109394313967863
REET,Low,20.85085491869582,2668,0.2447311018751756,0.09136869434428797,0.5187406296851574
DOMO,Medium-High,29.09811034857619,1667,0.5730669157689148,0.2733409408439478,0.3155368926214757
TRP,Medium-Low,13.83828623977476,10689,0.1826982200446234,0.12364202849958464,0.3564412012349144
PLCE,Medium-High,44.292548805911785,6895,0.9785146196880776,0.6042817884347763,0.30761421319796955
STBX,High,22.70360996572968,623,2.0,1.5717934935823816,0.28892455858747995
ZVRA,High,53.08470746261905,2475,1.3766969352933842,1.1839766892771926,0.2735353535353535
GLP,Medium,12.41710725265316,4876,0.0916070502354173,0.06662580702996483,0.374487284659557
AROC,Medium,12.748441201642112,4401,0.1349177258850753,0.15431493271168042,0.4017268802544876
VNT,Medium-Low,30.851674931636754,1104,0.2549433620783543,0.056780696472736,0.39855072463768115
VINC,High,119.70198644933475,1188,1.2934598434267208,1.001506344018389,0.3787878787878788
HCAT,Medium-High,24.32922802830356,1399,0.3209562621864208,0.35208197111350703,0.29735525375268046
FBMS,Medium,17.13701335150827,5567,0.2791954464760575,0.14234061262173395,0.2789653314172804
SEIC,Medium-Low,18.88422979127348,11065,0.1491382851092635,0.11503308567667507,0.3816538635336647
FTV,Medium-Low,63.23016913086726,2168,0.0631953321924914,0.05885313078476582,0.371309963099631
CBRE,Medium,39.99957927819288,5205,0.2640361961476998,0.15359266241956332,0.3988472622478386
SCHL,Medium-Low,25.360488062649104,8304,0.2323475348888719,0.17587294382385518,0.3601878612716763
RWEOY,Medium-Low,28.434107972909256,7106,0.0961402379379174,0.08176480408689782,0.38024204897269914
SIGI,Medium-Low,19.669387732816123,11323,0.1172871868395643,0.09011716931339463,0.3350702110748035
CLH,Medium-High,37.00736476264546,9378,0.1751325912286015,0.15171423580304444,0.2595436127105993
ADI,Medium,36.49965608934837,11323,0.1343791461518501,0.08207434372232932,0.3605934822926786
MLNK,Medium,19.341870084721997,893,0.1260158821433393,0.06088460226492627,0.3561030235162374
PTC,Medium,44.43545838215905,8862,0.0728879031231325,0.06171855972486198,0.3903182125930941
OIH,Medium-Low,471.9462652127343,6030,0.1229871768211652,0.074887995561982,0.3996683250414594
ALIZY,Medium-Low,11.365639485930148,6105,0.0902904663535509,0.07179786587299752,0.4004914004914005
GDS,Medium-High,34.35878730793155,2083,1.5675526859475035,1.2060655890345389,0.2803648583773404
IVW,Low,28.85874106854095,6218,0.1023680514712853,0.06934610929021667,0.57960759086523
AXP,Medium-Low,36.88902693885526,13289,0.300692892501487,0.23939646110321966,0.36819926254797203
SPSB,Low,25.213702179279988,3804,0.0111016204591964,0.01050839577532509,0.546267087276551
PCT,High,10.033251946725889,1155,1.106848728786311,1.2641739645779833,0.29264069264069265
PRAX,High,165.01963678615934,1088,0.2635672930811358,0.16384967743418088,0.29411764705882354
PPRUY,Medium-Low,34.045427104110296,3421,0.1354207638643845,0.16295697979057416,0.3838059047062263
VNDA,High,10.807273305314649,4742,0.9048438532877006,0.7439624818044276,0.3011387600168705
NPWR,Medium,10.295728000507395,886,0.2178745323224235,0.1565046893556084,0.3013544018058691
ARCT,High,36.26367082314858,2953,0.9757713228260816,0.6352343988615181,0.2780223501523874
EZGO,High,60.232153838200894,1020,1.7803699912474609,1.6257317564105023,0.27647058823529413
FGEN,High,26.439184632490456,2578,1.716516353571485,1.617486993718873,0.30256012412723043
INMD,Medium-High,30.003641138838898,1389,0.7931349075948066,0.16351008930472213,0.3275737940964723
ZD,Medium,37.6695869479523,6432,0.0915498501228266,0.0755822600975079,0.371113184079602
MLPX,Medium-Low,30.794200665704132,2900,0.087225991620374,0.0872169717994788,0.41379310344827586
MANU,Medium-Low,16.413870964801838,3147,0.0967183301214681,0.09233560319749358,0.34699714013346045
LITE,Medium,59.78989906929121,2407,0.8469787551833899,0.5734187678297163,0.40589945990859994
GBR,High,25.51632204382387,8030,1.498853809137518,0.6181596895981107,0.22129514321295143
SRDX,Medium,29.523697290052112,6782,0.1017211662722055,0.14273288216029933,0.3768799764081392
ROK,Medium-Low,60.30775066049908,10870,0.0453384490405161,0.04887496699814182,0.3781048758049678
PENG,Medium-High,18.19068546329506,1944,0.245454251313587,0.1388279719480873,0.27469135802469136
SPAB,Low,21.95112735387268,4459,0.0283295865778004,0.027752695612481355,0.5359946176272707
MJLB,High,137198.50260971344,6891,1.954423974595855,1.9573438614305103,0.12567116528805689
