ticker,naive_rmse
ADYEY,6.102796032177132
NMM,37.27832195897543
MARK,155.31411001847638
VIGI,7.288995573647192
GDRX,9.04408237184473
FTGS,1.8348857315650935
GOVX,18.355638009161513
DFEM,1.866522571550624
WABC,4.659433032853917
SDA,3.639482857123199
AAOI,24.81857114988114
CRGY,1.4361133625278828
JHMD,2.8106669960529564
XLK,3.9770652656693657
FTLS,3.8783116655314
CL,1.6653701476974938
MPWR,8.27365004714984
THQ,1.984169805431823
EFX,4.055280139240613
FFTY,9.06595738340212
EFSC,4.53870166112126
WDC,5.601475273690076
JG,26.7921775506044
MYRG,5.726166462085461
DBC,3.3626891792144495
VFLO,1.9780052680595979
CCL,6.901476666623852
SPTN,4.969944142703318
OILD,9.59794885535002
REZI,4.662478247072682
WBD,4.304671408705813
BILS,0.20725191231047999
GMPR,27886473132.517956
AHEXY,5.731795821664885
UDMY,2.0749786652851396
ARTY,10.221184918107042
GFAI,8.707046898645018
FPEI,3.047456345765971
VINC,142.15412301604755
VERV,10.300227547139302
HLVX,2.4446590995980086
CLDT,3.96644395393766
RELI,415.41090140755784
GXO,18.582128747135876
AZTA,9.172357861660682
FBEC,29409.659536520372
ILPT,7.884306191962841
WTW,12.202680846795596
CDP,4.106602946904524
CNK,4.899019605288502
PFS,2.085926627362842
TPC,4.659776364946574
TCHP,3.989146314792559
VYX,3.0126878612810852
GWW,4.7733821979152635
TDTT,0.34080088994451435
WB,43.60502895559516
TMO,5.5191571343528185
CVLT,11.822416928514238
USIO,28.78112229099995
CNMD,4.492123522057009
SGBX,304.88566262223316
MUST,1.149113901652507
SUI,4.902767560242334
QNCX,19.774226040914034
FOXA,5.889826051483433
XOM,1.8851381718090314
INVA,4.394520950948643
AIXI,14.367279662220248
CMA,8.01518704454372
WU,3.2260305814245953
EFV,7.645193840575747
HIGH,0.15890644914900517
WEX,15.683442299136146
DEO,8.763311548231762
ANGO,3.720862460470483
HOMB,2.515374351860876
DCOM,2.9862771936918384
SAH,4.806233704619993
NEAR,0.341870682246951
CALX,3.0044075488571984
OEC,6.686980973729641
IVOL,2.0641705120690403
FCPT,2.858024975566401
SNCY,4.262652726377743
BLV,6.323566564557522
XLU,3.7790708561463697
STIP,1.1053279661566715
PGF,1.7138251476942148
WJRYY,3.747942985080998
GMNI,19186.034927073797
STRL,3.72718294392796
FAF,5.738857142478032
BSY,11.03967184655729
ETNB,9.061377447064281
HPE,3.154759153694465
FTDR,9.575245758393912
DY,6.014006781392884
MUB,3.627694101503695
VGIT,1.6488751482745143
SGRY,17.4442665408839
SE,123.62725192236799
XLP,2.3919437493222127
ARMN,40.55685057771646
MRNA,92.9744520221537
APP,30.22258396948856
RDCM,7.404538615467553
ENGN,2.099759065068056
AOR,1.9372855996993663
PED,2056.017058283261
BBW,4.414947224747087
CYTK,7.267441555426443
APM,61.576973050643176
GDLC,12.786614962950603
IGLB,4.644090780869414
ACON,1253.946049618225
BLEG,2549.0277825988856
MNMD,22.93900422326813
SPLB,1.6820241905757887
PDPR,639.8208889988587
IBMP,0.7408893046834636
RXST,4.543867071594223
RELY,3.9459530648122483
QLTA,1.6106881723888626
USHY,3.343970420428683
MOAT,3.2695107569793027
TNDM,35.711137626890206
CGMU,0.34021994355810947
GOGO,4.6900377233168475
HRTX,116.91884031431395
VYM,4.8612026994879525
CGSD,0.20560195674809745
CHWY,22.92389764778067
MPNGY,14.105566665570754
GTE,12.339826703849722
RPTX,4.885514062189183
DAR,2.7895353811502948
BOOM,7.653078650457389
ENFY,36.148488021193856
GPRE,5.9650097932066215
EXPI,23.85753834818094
PLCE,11.334759314517948
RDN,6.40221970914652
FLGT,18.227052113390798
OPRT,5.17386429508653
TWI,5.734597115157017
EVER,13.648694850140267
MRUS,5.411156189420089
WRBY,5.731672028993286
CWH,14.868258324079711
